"Altitude [m]","Temperature [Kelvin]","Pressure [pascal]","Density [kg/m3]","Speed of sound [m/s]","Viscosity [Pa.s]"
44350,263.23,155.688,0.00206044,325.247,0.0000168503
44400,263.37,154.682,0.00204602,325.333,0.0000168576
44450,263.51,153.682,0.00203172,325.42,0.0000168649
44500,263.65,152.689,0.00201752,325.506,0.0000168721
44550,263.79,151.703,0.00200343,325.592,0.0000168794
44600,263.93,150.724,0.00198945,325.679,0.0000168867
44650,264.07,149.752,0.00197557,325.765,0.000016894
44700,264.21,148.787,0.0019618,325.851,0.0000169013
44750,264.35,147.829,0.00194813,325.938,0.0000169085
44800,264.49,146.877,0.00193456,326.024,0.0000169158
44850,264.63,145.931,0.00192109,326.11,0.0000169231
44900,264.77,144.993,0.00190772,326.197,0.0000169303
44950,264.91,144.061,0.00189446,326.283,0.0000169376
45000,265.05,143.135,0.00188129,326.369,0.0000169449
45050,265.19,142.216,0.00186822,326.455,0.0000169521
45100,265.33,141.303,0.00185525,326.541,0.0000169594
45150,265.47,140.396,0.00184237,326.628,0.0000169667
45200,265.61,139.496,0.0018296,326.714,0.0000169739
45250,265.75,138.602,0.00181691,326.8,0.0000169812
45300,265.89,137.714,0.00180432,326.886,0.0000169884
45350,266.03,136.832,0.00179183,326.972,0.0000169957
45400,266.17,135.957,0.00177943,327.058,0.0000170029
45450,266.31,135.087,0.00176712,327.144,0.0000170102
45500,266.45,134.224,0.0017549,327.23,0.0000170174
45550,266.59,133.366,0.00174277,327.316,0.0000170247
45600,266.73,132.515,0.00173074,327.402,0.0000170319
45650,266.87,131.669,0.00171879,327.488,0.0000170392
45700,267.01,130.829,0.00170693,327.574,0.0000170464
45750,267.15,129.995,0.00169516,327.659,0.0000170536
45800,267.29,129.167,0.00168348,327.745,0.0000170609
45850,267.43,128.344,0.00167188,327.831,0.0000170681
45900,267.57,127.527,0.00166037,327.917,0.0000170754
45950,267.71,126.716,0.00164894,328.003,0.0000170826
46000,267.85,125.91,0.0016376,328.088,0.0000170898
46050,267.99,125.11,0.00162634,328.174,0.000017097
46100,268.13,124.315,0.00161517,328.26,0.0000171043
46150,268.27,123.526,0.00160408,328.346,0.0000171115
46200,268.41,122.742,0.00159307,328.431,0.0000171187
46250,268.55,121.964,0.00158214,328.517,0.0000171259
46300,268.69,121.191,0.00157129,328.602,0.0000171332
46350,268.83,120.423,0.00156052,328.688,0.0000171404
46400,268.97,119.66,0.00154983,328.774,0.0000171476
46450,269.11,118.903,0.00153922,328.859,0.0000171548
46500,269.25,118.151,0.00152869,328.945,0.000017162
46550,269.39,117.404,0.00151824,329.03,0.0000171692
46600,269.53,116.662,0.00150786,329.116,0.0000171764
46650,269.67,115.925,0.00149756,329.201,0.0000171837
46700,269.81,115.193,0.00148733,329.287,0.0000171909
46750,269.95,114.467,0.00147718,329.372,0.0000171981
46800,270.09,113.745,0.0014671,329.457,0.0000172053
46850,270.23,113.028,0.0014571,329.543,0.0000172125
46900,270.37,112.316,0.00144717,329.628,0.0000172197
46950,270.51,111.609,0.00143732,329.713,0.0000172269
47000,270.65,110.906,0.00142753,329.799,0.0000172341
47050,270.65,110.209,0.00141855,329.799,0.0000172341
47100,270.65,109.515,0.00140963,329.799,0.0000172341
47150,270.65,108.826,0.00140076,329.799,0.0000172341
47200,270.65,108.141,0.00139195,329.799,0.0000172341
47250,270.65,107.461,0.00138319,329.799,0.0000172341
47300,270.65,106.785,0.00137449,329.799,0.0000172341
47350,270.65,106.113,0.00136584,329.799,0.0000172341
47400,270.65,105.446,0.00135725,329.799,0.0000172341
47450,270.65,104.782,0.00134871,329.799,0.0000172341
47500,270.65,104.123,0.00134022,329.799,0.0000172341
47550,270.65,103.468,0.00133179,329.799,0.0000172341
47600,270.65,102.817,0.00132341,329.799,0.0000172341
47650,270.65,102.17,0.00131508,329.799,0.0000172341
47700,270.65,101.527,0.00130681,329.799,0.0000172341
47750,270.65,100.888,0.00129859,329.799,0.0000172341
47800,270.65,100.254,0.00129042,329.799,0.0000172341
47850,270.65,99.623,0.0012823,329.799,0.0000172341
47900,270.65,98.9962,0.00127423,329.799,0.0000172341
47950,270.65,98.3734,0.00126622,329.799,0.0000172341
48000,270.65,97.7545,0.00125825,329.799,0.0000172341
48050,270.65,97.1395,0.00125033,329.799,0.0000172341
48100,270.65,96.5283,0.00124247,329.799,0.0000172341
48150,270.65,95.921,0.00123465,329.799,0.0000172341
48200,270.65,95.3176,0.00122688,329.799,0.0000172341
48250,270.65,94.7179,0.00121916,329.799,0.0000172341
48300,270.65,94.122,0.00121149,329.799,0.0000172341
48350,270.65,93.5298,0.00120387,329.799,0.0000172341
48400,270.65,92.9414,0.0011963,329.799,0.0000172341
48450,270.65,92.3566,0.00118877,329.799,0.0000172341
48500,270.65,91.7756,0.00118129,329.799,0.0000172341
48550,270.65,91.1982,0.00117386,329.799,0.0000172341
48600,270.65,90.6244,0.00116647,329.799,0.0000172341
48650,270.65,90.0542,0.00115914,329.799,0.0000172341
48700,270.65,89.4877,0.00115184,329.799,0.0000172341
48750,270.65,88.9247,0.0011446,329.799,0.0000172341
48800,270.65,88.3652,0.00113739,329.799,0.0000172341
48850,270.65,87.8092,0.00113024,329.799,0.0000172341
48900,270.65,87.2568,0.00112313,329.799,0.0000172341
48950,270.65,86.7078,0.00111606,329.799,0.0000172341
49000,270.65,86.1623,0.00110904,329.799,0.0000172341
49050,270.65,85.6202,0.00110206,329.799,0.0000172341
49100,270.65,85.0815,0.00109513,329.799,0.0000172341
49150,270.65,84.5463,0.00108824,329.799,0.0000172341
49200,270.65,84.0143,0.00108139,329.799,0.0000172341
49250,270.65,83.4858,0.00107459,329.799,0.0000172341
49300,270.65,82.9605,0.00106783,329.799,0.0000172341
49350,270.65,82.4386,0.00106111,329.799,0.0000172341
49400,270.65,81.9199,0.00105443,329.799,0.0000172341
49450,270.65,81.4045,0.0010478,329.799,0.0000172341
49500,270.65,80.8924,0.00104121,329.799,0.0000172341
49550,270.65,80.3834,0.00103466,329.799,0.0000172341
49600,270.65,79.8777,0.00102815,329.799,0.0000172341
49650,270.65,79.3752,0.00102168,329.799,0.0000172341
49700,270.65,78.8758,0.00101525,329.799,0.0000172341
49750,270.65,78.3795,0.00100886,329.799,0.0000172341
49800,270.65,77.8864,0.00100252,329.799,0.0000172341
49850,270.65,77.3964,0.00099621,329.799,0.0000172341
49900,270.65,76.9095,0.000989942,329.799,0.0000172341
49950,270.65,76.4256,0.000983714,329.799,0.0000172341
50000,270.65,75.9448,0.000977525,329.799,0.0000172341
50050,270.65,75.467,0.000971375,329.799,0.0000172341
50100,270.65,74.9922,0.000965264,329.799,0.0000172341
50150,270.65,74.5204,0.000959191,329.799,0.0000172341
50200,270.65,74.0515,0.000953156,329.799,0.0000172341
50250,270.65,73.5856,0.000947159,329.799,0.0000172341
50300,270.65,73.1227,0.0009412,329.799,0.0000172341
50350,270.65,72.6626,0.000935279,329.799,0.0000172341
50400,270.65,72.2055,0.000929395,329.799,0.0000172341
50450,270.65,71.7512,0.000923547,329.799,0.0000172341
50500,270.65,71.2998,0.000917737,329.799,0.0000172341
50550,270.65,70.8512,0.000911963,329.799,0.0000172341
50600,270.65,70.4054,0.000906225,329.799,0.0000172341
50650,270.65,69.9625,0.000900524,329.799,0.0000172341
50700,270.65,69.5223,0.000894858,329.799,0.0000172341
50750,270.65,69.0849,0.000889228,329.799,0.0000172341
50800,270.65,68.6503,0.000883634,329.799,0.0000172341
50850,270.65,68.2184,0.000878075,329.799,0.0000172341
50900,270.65,67.7892,0.00087255,329.799,0.0000172341
50950,270.65,67.3627,0.000867061,329.799,0.0000172341
51000,270.65,66.9389,0.000861606,329.799,0.0000172341
51050,270.51,66.5176,0.000856626,329.713,0.0000172269
51100,270.37,66.0988,0.000851674,329.628,0.0000172197
51150,270.23,65.6824,0.000846747,329.543,0.0000172125
51200,270.09,65.2684,0.000841846,329.457,0.0000172053
51250,269.95,64.8568,0.000836971,329.372,0.0000171981
51300,269.81,64.4476,0.000832122,329.287,0.0000171909
51350,269.67,64.0408,0.000827298,329.201,0.0000171837
51400,269.53,63.6363,0.0008225,329.116,0.0000171764
51450,269.39,63.2342,0.000817728,329.03,0.0000171692
51500,269.25,62.8344,0.00081298,328.945,0.000017162
51550,269.11,62.4369,0.000808258,328.859,0.0000171548
51600,268.97,62.0418,0.00080356,328.774,0.0000171476
51650,268.83,61.6489,0.000798888,328.688,0.0000171404
51700,268.69,61.2583,0.00079424,328.602,0.0000171332
51750,268.55,60.87,0.000789617,328.517,0.0000171259
51800,268.41,60.484,0.000785018,328.431,0.0000171187
51850,268.27,60.1002,0.000780444,328.346,0.0000171115
51900,268.13,59.7186,0.000775894,328.26,0.0000171043
51950,267.99,59.3393,0.000771368,328.174,0.000017097
52000,267.85,58.9622,0.000766867,328.088,0.0000170898
52050,267.71,58.5872,0.000762389,328.003,0.0000170826
52100,267.57,58.2145,0.000757935,327.917,0.0000170754
52150,267.43,57.844,0.000753505,327.831,0.0000170681
52200,267.29,57.4756,0.000749098,327.745,0.0000170609
52250,267.15,57.1093,0.000744715,327.659,0.0000170536
52300,267.01,56.7453,0.000740355,327.574,0.0000170464
52350,266.87,56.3833,0.000736019,327.488,0.0000170392
52400,266.73,56.0235,0.000731705,327.402,0.0000170319
52450,266.59,55.6657,0.000727415,327.316,0.0000170247
52500,266.45,55.3101,0.000723147,327.23,0.0000170174
52550,266.31,54.9566,0.000718903,327.144,0.0000170102
52600,266.17,54.6051,0.000714681,327.058,0.0000170029
52650,266.03,54.2557,0.000710482,326.972,0.0000169957
52700,265.89,53.9084,0.000706305,326.886,0.0000169884
52750,265.75,53.563,0.00070215,326.8,0.0000169812
52800,265.61,53.2198,0.000698018,326.714,0.0000169739
52850,265.47,52.8785,0.000693908,326.628,0.0000169667
52900,265.33,52.5393,0.00068982,326.541,0.0000169594
52950,265.19,52.202,0.000685754,326.455,0.0000169521
53000,265.05,51.8668,0.00068171,326.369,0.0000169449
53050,264.91,51.5335,0.000677687,326.283,0.0000169376
53100,264.77,51.2022,0.000673687,326.197,0.0000169303
53150,264.63,50.8728,0.000669707,326.11,0.0000169231
53200,264.49,50.5454,0.000665749,326.024,0.0000169158
53250,264.35,50.22,0.000661813,325.938,0.0000169085
53300,264.21,49.8964,0.000657897,325.851,0.0000169013
53350,264.07,49.5748,0.000654003,325.765,0.000016894
53400,263.93,49.2551,0.00065013,325.679,0.0000168867
53450,263.79,48.9372,0.000646278,325.592,0.0000168794
53500,263.65,48.6213,0.000642446,325.506,0.0000168721
53550,263.51,48.3072,0.000638635,325.42,0.0000168649
53600,263.37,47.995,0.000634845,325.333,0.0000168576
53650,263.23,47.6846,0.000631075,325.247,0.0000168503
53700,263.09,47.3761,0.000627326,325.16,0.000016843
53750,262.95,47.0694,0.000623597,325.074,0.0000168357
53800,262.81,46.7646,0.000619888,324.987,0.0000168284
53850,262.67,46.4615,0.000616199,324.9,0.0000168211
53900,262.53,46.1603,0.00061253,324.814,0.0000168138
53950,262.39,45.8608,0.000608881,324.727,0.0000168065
54000,262.25,45.5632,0.000605252,324.641,0.0000167992
54050,262.11,45.2673,0.000601643,324.554,0.0000167919
54100,261.97,44.9731,0.000598053,324.467,0.0000167846
54150,261.83,44.6808,0.000594483,324.381,0.0000167773
54200,261.69,44.3902,0.000590932,324.294,0.00001677
54250,261.55,44.1013,0.000587401,324.207,0.0000167627
54300,261.41,43.8141,0.000583888,324.12,0.0000167554
54350,261.27,43.5287,0.000580395,324.033,0.0000167481
54400,261.13,43.2449,0.000576921,323.947,0.0000167408
54450,260.99,42.9629,0.000573466,323.86,0.0000167335
54500,260.85,42.6826,0.00057003,323.773,0.0000167261
54550,260.71,42.4039,0.000566612,323.686,0.0000167188
54600,260.57,42.1269,0.000563214,323.599,0.0000167115
54650,260.43,41.8516,0.000559833,323.512,0.0000167042
54700,260.29,41.5779,0.000556472,323.425,0.0000166969
54750,260.15,41.3058,0.000553128,323.338,0.0000166895
54800,260.01,41.0354,0.000549803,323.251,0.0000166822
54850,259.87,40.7667,0.000546496,323.164,0.0000166749
54900,259.73,40.4995,0.000543208,323.077,0.0000166676
54950,259.59,40.234,0.000539937,322.99,0.0000166602
55000,259.45,39.97,0.000536684,322.903,0.0000166529
55050,259.31,39.7077,0.000533449,322.816,0.0000166456
55100,259.17,39.4469,0.000530232,322.729,0.0000166382
55150,259.03,39.1877,0.000527033,322.641,0.0000166309
55200,258.89,38.93,0.000523851,322.554,0.0000166235
55250,258.75,38.6739,0.000520686,322.467,0.0000166162
55300,258.61,38.4194,0.000517539,322.38,0.0000166088
55350,258.47,38.1664,0.00051441,322.292,0.0000166015
55400,258.33,37.9149,0.000511298,322.205,0.0000165942
55450,258.19,37.665,0.000508202,322.118,0.0000165868
55500,258.05,37.4166,0.000505124,322.03,0.0000165795
55550,257.91,37.1696,0.000502063,321.943,0.0000165721
55600,257.77,36.9242,0.000499019,321.856,0.0000165647
55650,257.63,36.6803,0.000495991,321.768,0.0000165574
55700,257.49,36.4378,0.000492981,321.681,0.00001655
55750,257.35,36.1968,0.000489987,321.593,0.0000165427
55800,257.21,35.9573,0.000487009,321.506,0.0000165353
55850,257.07,35.7192,0.000484048,321.418,0.0000165279
55900,256.93,35.4826,0.000481104,321.331,0.0000165206
55950,256.79,35.2474,0.000478175,321.243,0.0000165132
56000,256.65,35.0137,0.000475263,321.156,0.0000165058
56050,256.51,34.7813,0.000472368,321.068,0.0000164985
56100,256.37,34.5504,0.000469488,320.981,0.0000164911
56150,256.23,34.3209,0.000466624,320.893,0.0000164837
56200,256.09,34.0928,0.000463776,320.805,0.0000164763
56250,255.95,33.8661,0.000460944,320.717,0.000016469
56300,255.81,33.6408,0.000458128,320.63,0.0000164616
56350,255.67,33.4168,0.000455327,320.542,0.0000164542
56400,255.53,33.1943,0.000452542,320.454,0.0000164468
56450,255.39,32.973,0.000449773,320.366,0.0000164394
56500,255.25,32.7532,0.000447019,320.279,0.000016432
56550,255.11,32.5347,0.00044428,320.191,0.0000164247
56600,254.97,32.3175,0.000441557,320.103,0.0000164173
56650,254.83,32.1016,0.000438849,320.015,0.0000164099
56700,254.69,31.8871,0.000436156,319.927,0.0000164025
56750,254.55,31.6739,0.000433478,319.839,0.0000163951
56800,254.41,31.462,0.000430815,319.751,0.0000163877
56850,254.27,31.2514,0.000428167,319.663,0.0000163803
56900,254.13,31.0421,0.000425534,319.575,0.0000163729
56950,253.99,30.8341,0.000422915,319.487,0.0000163655
57000,253.85,30.6274,0.000420311,319.399,0.0000163581
57050,253.71,30.4219,0.000417722,319.311,0.0000163507
57100,253.57,30.2178,0.000415147,319.223,0.0000163433
57150,253.43,30.0148,0.000412587,319.135,0.0000163358
57200,253.29,29.8131,0.000410041,319.047,0.0000163284
57250,253.15,29.6127,0.00040751,318.958,0.000016321
57300,253.01,29.4135,0.000404993,318.87,0.0000163136
57350,252.87,29.2155,0.00040249,318.782,0.0000163062
57400,252.73,29.0188,0.000400001,318.694,0.0000162988
57450,252.59,28.8233,0.000397526,318.605,0.0000162913
57500,252.45,28.629,0.000395065,318.517,0.0000162839
57550,252.31,28.4358,0.000392618,318.429,0.0000162765
57600,252.17,28.2439,0.000390184,318.34,0.0000162691
57650,252.03,28.0532,0.000387765,318.252,0.0000162616
57700,251.89,27.8637,0.000385359,318.164,0.0000162542
57750,251.75,27.6753,0.000382967,318.075,0.0000162468
57800,251.61,27.4881,0.000380588,317.987,0.0000162393
57850,251.47,27.3021,0.000378222,317.898,0.0000162319
57900,251.33,27.1172,0.000375871,317.81,0.0000162245
57950,251.19,26.9335,0.000373532,317.721,0.000016217
58000,251.05,26.7509,0.000371207,317.633,0.0000162096
58050,250.91,26.5694,0.000368895,317.544,0.0000162021
58100,250.77,26.3891,0.000366596,317.455,0.0000161947
58150,250.63,26.2099,0.00036431,317.367,0.0000161872
58200,250.49,26.0318,0.000362037,317.278,0.0000161798
58250,250.35,25.8549,0.000359777,317.19,0.0000161723
58300,250.21,25.679,0.000357529,317.101,0.0000161649
58350,250.07,25.5043,0.000355295,317.012,0.0000161574
58400,249.93,25.3306,0.000353073,316.923,0.00001615
58450,249.79,25.158,0.000350864,316.835,0.0000161425
58500,249.65,24.9865,0.000348668,316.746,0.000016135
58550,249.51,24.8161,0.000346484,316.657,0.0000161276
58600,249.37,24.6467,0.000344313,316.568,0.0000161201
58650,249.23,24.4784,0.000342154,316.479,0.0000161127
58700,249.09,24.3112,0.000340007,316.39,0.0000161052
58750,248.95,24.145,0.000337873,316.301,0.0000160977
58800,248.81,23.9798,0.00033575,316.212,0.0000160902
58850,248.67,23.8157,0.00033364,316.123,0.0000160828
58900,248.53,23.6526,0.000331542,316.034,0.0000160753
58950,248.39,23.4906,0.000329456,315.945,0.0000160678
59000,248.25,23.3296,0.000327382,315.856,0.0000160603
59050,248.11,23.1695,0.00032532,315.767,0.0000160529
59100,247.97,23.0105,0.00032327,315.678,0.0000160454
59150,247.83,22.8525,0.000321232,315.589,0.0000160379
59200,247.69,22.6955,0.000319205,315.5,0.0000160304
59250,247.55,22.5395,0.00031719,315.411,0.0000160229
59300,247.41,22.3844,0.000315186,315.322,0.0000160154
59350,247.27,22.2304,0.000313194,315.232,0.0000160079
59400,247.13,22.0773,0.000311214,315.143,0.0000160004
59450,246.99,21.9252,0.000309245,315.054,0.0000159929
59500,246.85,21.774,0.000307287,314.965,0.0000159854
59550,246.71,21.6238,0.00030534,314.875,0.0000159779
59600,246.57,21.4746,0.000303405,314.786,0.0000159704
59650,246.43,21.3263,0.000301481,314.696,0.0000159629
59700,246.29,21.1789,0.000299568,314.607,0.0000159554
59750,246.15,21.0325,0.000297666,314.518,0.0000159479
59800,246.01,20.887,0.000295775,314.428,0.0000159404
59850,245.87,20.7425,0.000293896,314.339,0.0000159329
59900,245.73,20.5988,0.000292027,314.249,0.0000159254
59950,245.59,20.4561,0.000290168,314.16,0.0000159179
60000,245.45,20.3143,0.000288321,314.07,0.0000159104
60050,245.31,20.1733,0.000286484,313.981,0.0000159029
60100,245.17,20.0333,0.000284658,313.891,0.0000158953
60150,245.03,19.8942,0.000282843,313.801,0.0000158878
60200,244.89,19.7559,0.000281038,313.712,0.0000158803
60250,244.75,19.6186,0.000279243,313.622,0.0000158728
60300,244.61,19.4821,0.000277459,313.532,0.0000158652
60350,244.47,19.3465,0.000275686,313.442,0.0000158577
60400,244.33,19.2117,0.000273923,313.353,0.0000158502
60450,244.19,19.0779,0.00027217,313.263,0.0000158426
60500,244.05,18.9448,0.000270427,313.173,0.0000158351
60550,243.91,18.8127,0.000268694,313.083,0.0000158276
60600,243.77,18.6813,0.000266972,312.993,0.00001582
60650,243.63,18.5508,0.00026526,312.904,0.0000158125
60700,243.49,18.4212,0.000263557,312.814,0.0000158049
60750,243.35,18.2924,0.000261865,312.724,0.0000157974
60800,243.21,18.1644,0.000260182,312.634,0.0000157898
60850,243.07,18.0372,0.000258509,312.544,0.0000157823
60900,242.93,17.9109,0.000256847,312.454,0.0000157748
60950,242.79,17.7853,0.000255193,312.364,0.0000157672
61000,242.65,17.6606,0.00025355,312.274,0.0000157596
61050,242.51,17.5367,0.000251916,312.183,0.0000157521
61100,242.37,17.4136,0.000250292,312.093,0.0000157445
61150,242.23,17.2912,0.000248677,312.003,0.000015737
61200,242.09,17.1697,0.000247072,311.913,0.0000157294
61250,241.95,17.0489,0.000245477,311.823,0.0000157218
61300,241.81,16.929,0.00024389,311.733,0.0000157143
61350,241.67,16.8098,0.000242313,311.642,0.0000157067
61400,241.53,16.6913,0.000240746,311.552,0.0000156991
61450,241.39,16.5737,0.000239187,311.462,0.0000156916
61500,241.25,16.4568,0.000237638,311.371,0.000015684
61550,241.11,16.3406,0.000236098,311.281,0.0000156764
61600,240.97,16.2252,0.000234567,311.191,0.0000156688
61650,240.83,16.1106,0.000233045,311.1,0.0000156613
61700,240.69,15.9967,0.000231532,311.01,0.0000156537
61750,240.55,15.8835,0.000230028,310.919,0.0000156461
61800,240.41,15.7711,0.000228533,310.829,0.0000156385
61850,240.27,15.6594,0.000227046,310.738,0.0000156309
61900,240.13,15.5485,0.000225569,310.648,0.0000156233
61950,239.99,15.4382,0.0002241,310.557,0.0000156158
62000,239.85,15.3287,0.00022264,310.467,0.0000156082
62050,239.71,15.2199,0.000221189,310.376,0.0000156006
62100,239.57,15.1118,0.000219746,310.285,0.000015593
62150,239.43,15.0044,0.000218312,310.195,0.0000155854
62200,239.29,14.8977,0.000216886,310.104,0.0000155778
62250,239.15,14.7917,0.000215469,310.013,0.0000155702
62300,239.01,14.6864,0.000214061,309.922,0.0000155626
62350,238.87,14.5818,0.00021266,309.832,0.000015555
62400,238.73,14.4778,0.000211268,309.741,0.0000155474
62450,238.59,14.3746,0.000209885,309.65,0.0000155397
62500,238.45,14.272,0.000208509,309.559,0.0000155321
62550,238.31,14.1701,0.000207142,309.468,0.0000155245
62600,238.17,14.0689,0.000205783,309.377,0.0000155169
62650,238.03,13.9683,0.000204432,309.286,0.0000155093
62700,237.89,13.8684,0.00020309,309.195,0.0000155017
62750,237.75,13.7691,0.000201755,309.104,0.000015494
62800,237.61,13.6705,0.000200428,309.013,0.0000154864
62850,237.47,13.5726,0.000199109,308.922,0.0000154788
62900,237.33,13.4753,0.000197798,308.831,0.0000154712
62950,237.19,13.3786,0.000196495,308.74,0.0000154635
63000,237.05,13.2826,0.0001952,308.649,0.0000154559
63050,236.91,13.1872,0.000193913,308.558,0.0000154483
63100,236.77,13.0924,0.000192633,308.467,0.0000154406
63150,236.63,12.9983,0.000191361,308.376,0.000015433
63200,236.49,12.9047,0.000190097,308.284,0.0000154254
63250,236.35,12.8118,0.00018884,308.193,0.0000154177
63300,236.21,12.7196,0.000187591,308.102,0.0000154101
63350,236.07,12.6279,0.000186349,308.01,0.0000154024
63400,235.93,12.5368,0.000185115,307.919,0.0000153948
63450,235.79,12.4463,0.000183888,307.828,0.0000153871
63500,235.65,12.3565,0.000182669,307.736,0.0000153795
63550,235.51,12.2672,0.000181457,307.645,0.0000153718
63600,235.37,12.1785,0.000180253,307.553,0.0000153642
63650,235.23,12.0904,0.000179055,307.462,0.0000153565
63700,235.09,12.0029,0.000177865,307.37,0.0000153489
63750,234.95,11.916,0.000176682,307.279,0.0000153412
63800,234.81,11.8297,0.000175507,307.187,0.0000153335
63850,234.67,11.7439,0.000174338,307.096,0.0000153259
63900,234.53,11.6587,0.000173177,307.004,0.0000153182
63950,234.39,11.5741,0.000172022,306.913,0.0000153106
64000,234.25,11.49,0.000170875,306.821,0.0000153029
64050,234.11,11.4065,0.000169735,306.729,0.0000152952
64100,233.97,11.3235,0.000168601,306.637,0.0000152875
64150,233.83,11.2412,0.000167474,306.546,0.0000152799
64200,233.69,11.1593,0.000166355,306.454,0.0000152722
64250,233.55,11.078,0.000165242,306.362,0.0000152645
64300,233.41,10.9973,0.000164136,306.27,0.0000152568
64350,233.27,10.917,0.000163036,306.178,0.0000152491
64400,233.13,10.8374,0.000161944,306.086,0.0000152414
64450,232.99,10.7582,0.000160858,305.995,0.0000152338
64500,232.85,10.6796,0.000159778,305.903,0.0000152261
64550,232.71,10.6015,0.000158706,305.811,0.0000152184
64600,232.57,10.524,0.000157639,305.719,0.0000152107
64650,232.43,10.447,0.00015658,305.627,0.000015203
64700,232.29,10.3704,0.000155527,305.535,0.0000151953
64750,232.15,10.2944,0.00015448,305.442,0.0000151876
64800,232.01,10.2189,0.00015344,305.35,0.0000151799
64850,231.87,10.144,0.000152406,305.258,0.0000151722
64900,231.73,10.0695,0.000151378,305.166,0.0000151645
64950,231.59,9.99551,0.000150357,305.074,0.0000151568
65000,231.45,9.92203,0.000149342,304.982,0.0000151491
65050,231.31,9.84905,0.000148333,304.889,0.0000151414
65100,231.17,9.77656,0.000147331,304.797,0.0000151336
65150,231.03,9.70457,0.000146334,304.705,0.0000151259
65200,230.89,9.63306,0.000145344,304.612,0.0000151182
65250,230.75,9.56203,0.00014436,304.52,0.0000151105
65300,230.61,9.49149,0.000143382,304.428,0.0000151028
65350,230.47,9.42142,0.00014241,304.335,0.000015095
65400,230.33,9.35183,0.000141444,304.243,0.0000150873
65450,230.19,9.28271,0.000140484,304.15,0.0000150796
